locs,techs,timesteps,storage
region2,battery,2005-01-04 20:00:00,782.403743157884
region2,battery,2005-01-04 21:00:00,1054.94544315789
region2,battery,2005-01-04 22:00:00,1522.15924315789
region2,battery,2005-01-04 23:00:00,1950.43824315789
region2,battery,2005-01-05 00:00:00,2417.65204315789
region2,battery,2005-01-05 01:00:00,3001.66834315789
region2,battery,2005-01-05 02:00:00,3624.61944315789
region2,battery,2005-01-05 03:00:00,4208.63574315789
region2,battery,2005-01-05 04:00:00,4753.71724315789
region2,battery,2005-01-05 05:00:00,5239.24607999999
region2,battery,2005-01-05 06:00:00,5239.24607999999
region2,battery,2005-01-05 07:00:00,5239.24607999999
region2,battery,2005-01-05 08:00:00,5031.33786947367
region2,battery,2005-01-05 09:00:00,4567.90713263158
region2,battery,2005-01-05 10:00:00,4494.94713263158
region2,battery,2005-01-05 11:00:00,4610.13577263158
region2,battery,2005-01-05 12:00:00,4862.34595263158
region2,battery,2005-01-05 13:00:00,4906.86105263158
region2,battery,2005-01-05 14:00:00,4210.52631578947
region2,battery,2005-01-05 15:00:00,3157.8947368421
region2,battery,2005-01-05 16:00:00,2105.26315789474
region2,battery,2005-01-05 17:00:00,1052.63157894737
region2,battery,2005-01-05 18:00:00,0.0
region2,battery,2005-01-05 19:00:00,0.0
region2,battery,2005-01-05 20:00:00,0.0
region2,battery,2005-01-05 21:00:00,0.0
region2,battery,2005-01-05 22:00:00,0.0
region2,battery,2005-01-05 23:00:00,0.0
