carriers,locs,techs,timesteps,carrier_prod
electricity,X1,supply_grid_power,2005-07-02 14:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 15:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 16:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 17:00:00,4.11833519656098
electricity,X1,supply_grid_power,2005-07-02 18:00:00,8.96878916985599
electricity,X1,supply_grid_power,2005-07-02 19:00:00,33.6201473134812
electricity,X1,supply_grid_power,2005-07-02 20:00:00,9.92784095727921
electricity,X1,supply_grid_power,2005-07-02 21:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 22:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 23:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 00:00:00,94.54580124
electricity,X2,power_lines:X1,2005-07-01 01:00:00,76.96061918
electricity,X2,power_lines:X1,2005-07-01 02:00:00,77.4757501
electricity,X2,power_lines:X1,2005-07-01 03:00:00,77.4757501
electricity,X2,power_lines:X1,2005-07-01 04:00:00,82.73149557
electricity,X2,power_lines:X1,2005-07-01 05:00:00,148.5334787
electricity,X2,power_lines:X1,2005-07-01 06:00:00,189.5708167
electricity,X2,power_lines:X1,2005-07-01 07:00:00,217.801421959741
electricity,X2,power_lines:X1,2005-07-01 08:00:00,214.741110488247
electricity,X2,power_lines:X1,2005-07-01 09:00:00,220.914602064347
electricity,X2,power_lines:X1,2005-07-01 10:00:00,181.794268027935
electricity,X2,power_lines:X1,2005-07-01 11:00:00,182.071781742542
electricity,X2,power_lines:X1,2005-07-01 12:00:00,170.536787047156
electricity,X2,power_lines:X1,2005-07-01 13:00:00,169.330006586327
electricity,X2,power_lines:X1,2005-07-01 14:00:00,180.2184938698
electricity,X2,power_lines:X1,2005-07-01 15:00:00,206.838373517359
electricity,X2,power_lines:X1,2005-07-01 16:00:00,178.603184173056
electricity,X2,power_lines:X1,2005-07-01 17:00:00,249.606176934097
electricity,X2,power_lines:X1,2005-07-01 18:00:00,245.365582084765
electricity,X2,power_lines:X1,2005-07-01 19:00:00,260.2516282
electricity,X2,power_lines:X1,2005-07-01 20:00:00,254.6055991
electricity,X2,power_lines:X1,2005-07-01 21:00:00,205.4495087
electricity,X2,power_lines:X1,2005-07-01 22:00:00,135.2325717
electricity,X2,power_lines:X1,2005-07-01 23:00:00,94.73897533
electricity,X2,power_lines:X1,2005-07-02 00:00:00,102.5825115
electricity,X2,power_lines:X1,2005-07-02 01:00:00,85.89880856
