carriers,locs,techs,timesteps,capacity_factor
electricity,X2,power_lines:X1,2005-07-01 12:00:00,0.6212368571057039
electricity,X2,power_lines:X1,2005-07-01 13:00:00,0.6168407586821146
electricity,X2,power_lines:X1,2005-07-01 14:00:00,0.6565056880838264
electricity,X2,power_lines:X1,2005-07-01 15:00:00,0.7534774362627624
electricity,X2,power_lines:X1,2005-07-01 16:00:00,0.6506213863056997
electricity,X2,power_lines:X1,2005-07-01 17:00:00,0.9092733571310393
electricity,X2,power_lines:X1,2005-07-01 18:00:00,0.8938255827119681
electricity,X2,power_lines:X1,2005-07-01 19:00:00,0.9480529471620913
electricity,X2,power_lines:X1,2005-07-01 20:00:00,0.9274854119461178
electricity,X2,power_lines:X1,2005-07-01 21:00:00,0.7484180351269698
electricity,X2,power_lines:X1,2005-07-01 22:00:00,0.4926295333451974
electricity,X2,power_lines:X1,2005-07-01 23:00:00,0.3451181665756939
electricity,X2,power_lines:X1,2005-07-02 00:00:00,0.37369085076434544
electricity,X2,power_lines:X1,2005-07-02 01:00:00,0.3129149245915084
electricity,X2,power_lines:X1,2005-07-02 02:00:00,0.3072853184282164
electricity,X2,power_lines:X1,2005-07-02 03:00:00,0.3157297276913685
electricity,X2,power_lines:X1,2005-07-02 04:00:00,0.3311224544049438
electricity,X2,power_lines:X1,2005-07-02 05:00:00,0.5382676992392824
electricity,X2,power_lines:X1,2005-07-02 06:00:00,0.7252859170730639
electricity,X2,power_lines:X1,2005-07-02 07:00:00,0.8698263348309916
electricity,X2,power_lines:X1,2005-07-02 08:00:00,0.8565021822644195
electricity,X2,power_lines:X1,2005-07-02 09:00:00,0.8438564324711353
electricity,X2,power_lines:X1,2005-07-02 10:00:00,0.8124705370740135
electricity,X2,power_lines:X1,2005-07-02 11:00:00,0.6749909907468
electricity,X2,power_lines:X1,2005-07-02 12:00:00,0.6095410106116036
electricity,X2,power_lines:X1,2005-07-02 13:00:00,0.5856076400264877
electricity,X2,power_lines:X1,2005-07-02 14:00:00,0.6487928026012589
electricity,X2,power_lines:X1,2005-07-02 15:00:00,0.7497909951904828
electricity,X2,power_lines:X1,2005-07-02 16:00:00,0.649058686225383
electricity,X2,power_lines:X1,2005-07-02 17:00:00,0.8903791653860226
electricity,X2,power_lines:X1,2005-07-02 18:00:00,0.8982500269662512
electricity,X2,power_lines:X1,2005-07-02 19:00:00,0.980000000000001
